Aşkın Tuna	[]
Abū Naṣr Muḥammad al-Fārābī	[u'http://en.wikipedia.org/wiki/Abu%20Nasr%20Muhammad%20al-Farabi']
Abderrahim Souiri	[]
Adambakkam K. Shankar	[]
Adamo	[u'http://en.wikipedia.org/wiki/Adamo', u'http://en.wikipedia.org/wiki/Adamo%20Ruggiero', u'http://en.wikipedia.org/wiki/Adamo%20Didur', u'http://en.wikipedia.org/wiki/Adamo%20Coulibaly', u'http://en.wikipedia.org/wiki/Adam%C3%B3w%2C%20%C5%81uk%C3%B3w%20County', u'http://en.wikipedia.org/wiki/Adam%C3%B3w%2C%20Zamo%C5%9B%C4%87%20County', u'http://en.wikipedia.org/wiki/Adamorobe%20Sign%20Language', u'http://en.wikipedia.org/wiki/Adamou%20Ndam%20Njoya', u'http://en.wikipedia.org/wiki/Adam%C3%B3wka%2C%20Podkarpackie%20Voivodeship', u'http://en.wikipedia.org/wiki/Adamov%20%28Blansko%20District%29']
Adem Şahin	[]
Ahmet Feyzi Bey	[]
Ahmet Mükerrem Akıncı	[]
Ahmet Rasim Bey	[]
Ahmet Refik Altınay	[]
Ahmet Sedat Öztoprak	[]
Ahmet Selçuk İlkan	[]
Ajoy Chakraborty	[u'http://en.wikipedia.org/wiki/Ajoy%20Chakraborty']
Alaaddin Şensoy	[]
Alandur S. Natarajan	[]
Alathur Brothers	[u'http://en.wikipedia.org/wiki/Alathur%20Brothers']
Alâeddin Yavaşca	[]
Aleko Bacanos Efendi	[]
Ali İhsan Kısaç	[]
Ali Nazmi Yükselen	[]
Ali Selami	[]
Ali Selçuk Özgürdal	[]
Ali Tekintüre	[]
Alla Rakha	[u'http://en.wikipedia.org/wiki/Alla%20Rakha']
Amita Sinha	[]
Anai Vaidhyanathan Iyer	[]
Andal	[u'http://en.wikipedia.org/wiki/Andalusia', u'http://en.wikipedia.org/wiki/Andal', u'http://en.wikipedia.org/wiki/Andalusian%20horse', u'http://en.wikipedia.org/wiki/Andalusian%20Autonomous%20Government', u'http://en.wikipedia.org/wiki/%C3%85ndalsnes', u'http://en.wikipedia.org/wiki/Andalusian%20people', u'http://en.wikipedia.org/wiki/Andalusia%2C%20Alabama', u'http://en.wikipedia.org/wiki/Andalusian%20Party', u'http://en.wikipedia.org/wiki/Andalusian%20Spanish', u'http://en.wikipedia.org/wiki/Andalusian']
Aneesh Vidyashankar	[]
Annamacharya	[u'http://en.wikipedia.org/wiki/Annamacharya', u'http://en.wikipedia.org/wiki/Annamacharya%20sankeertana']
Appa Jalgaonkar	[]
Ariyakudi Ramanuja Iyengar	[u'http://en.wikipedia.org/wiki/Ariyakudi%20Ramanuja%20Iyengar']
Arslan Tunçata	[]
Arunagirinathar	[u'http://en.wikipedia.org/wiki/Arunagirinathar']
Arvind Thatte	[]
Asdik Ağa	[]
Ashwini Apte	[]
Avni Anıl	[]
Ayfer Er	[]
Aysel Gürel	[u'http://en.wikipedia.org/wiki/Aysel%20G%C3%BCrel']
Şahap Gürsel	[]
Şehzade Sultan Korkud	[]
Şerâfettin Aydınlık	[]
Şerif İçli	[]
Şerif Çelebi	[]
Şeyda Temuçin	[]
İlgün Soysev	[]
İlhan Behlül Pektaş	[]
İlkan San	[]
İlter Yeşilay	[]
İrticâl Dede	[]
İsmail Şençalar	[]
İsmâil Baha Sürelsan	[]
İstanbul Sazendeleri	[]
త్యాగరాజ	[]
ಪುರಂದರ ದಾಸ	[]
Ülkü Erakalın	[]
Ümit Atalay	[]
Ömer Bedrettin Uşaklı	[]
Özer Şenay	[]
Çiğdem Yarkın	[]
Baban Manjrekar	[]
Bahadır Özüşen	[]
Bajeddoub & Souiri	[]
Baki Duyarlar	[]
Balwant Rai Bhatt	[]
Bâki	[u'http://en.wikipedia.org/wiki/Baking', u'http://en.wikipedia.org/wiki/Baki', u'http://en.wikipedia.org/wiki/Baking%20soda', u'http://en.wikipedia.org/wiki/Baking%20powder', u'http://en.wikipedia.org/wiki/Baki%20the%20Grappler', u'http://en.wikipedia.org/wiki/Bakili%20Muluzi', u'http://en.wikipedia.org/wiki/Bakit%20Kay%20Tagal%20ng%20Sandali%3F', u'http://en.wikipedia.org/wiki/Bakili%20Baku', u'http://en.wikipedia.org/wiki/B%C3%A2k%C3%AE', u'http://en.wikipedia.org/wiki/Bakir%20Izetbegovi%C4%87']
Bekir Mutlu	[]
Belgin Gök	[]
Berrin Büyükçınar	[]
Bhimsen Joshi	[u'http://en.wikipedia.org/wiki/Bhimsen%20Joshi']
Bikram Ghosh	[u'http://en.wikipedia.org/wiki/Bikram%20Ghosh']
Bilge Özgen	[]
Bombay Jayashri	[u'http://en.wikipedia.org/wiki/Bombay%20Jayashri']
Bosphorus	[u'http://en.wikipedia.org/wiki/Bosphorus', u'http://en.wikipedia.org/wiki/Bosphorus%20University', u'http://en.wikipedia.org/wiki/Bosphorus%20Bridge', u'http://en.wikipedia.org/wiki/Bosphorus%20serial%20murders', u'http://en.wikipedia.org/wiki/Bosphorus%20Express', u'http://en.wikipedia.org/wiki/Bosphorus%20Cymbals', u'http://en.wikipedia.org/wiki/Bosphorus%20tunnel', u'http://en.wikipedia.org/wiki/Bosphorus%20Gaz%20Corporation', u'http://en.wikipedia.org/wiki/Bosphorus%20Airways', u'http://en.wikipedia.org/wiki/Bosphorus%20Bridges']
Buhurizade Mustafa Itri Efendi	[]
C. Cheluvaraju	[]
Canan Sezgin Geylan	[]
Caner Altınbaş	[]
Cem Karaca	[u'http://en.wikipedia.org/wiki/Cem%20Karaca', u'http://en.wikipedia.org/wiki/Cem%20Karaca%20%28footballer%29', u'http://en.wikipedia.org/wiki/Cem%20Karacan']
Cemal Safi	[]
Cengiz Ercümer	[]
Cengizhan Sönmez	[]
Chiranjib Chakraborty	[]
Chittibabu	[]
Chorus	[u'http://en.wikipedia.org/wiki/Chorus', u'http://en.wikipedia.org/wiki/Chorus%20effect', u'http://en.wikipedia.org/wiki/Chorus%20line', u'http://en.wikipedia.org/wiki/Chorus%20Line', u'http://en.wikipedia.org/wiki/Chorus%20frog', u'http://en.wikipedia.org/wiki/Chorus%20%28Erasure%20album%29', u'http://en.wikipedia.org/wiki/Chorus%20%28song%29', u'http://en.wikipedia.org/wiki/Chorus%20Communications', u'http://en.wikipedia.org/wiki/Chorus%20%28magazine%29', u'http://en.wikipedia.org/wiki/Chorus%20%28Erasure%20song%29']
Coşkun Sabah	[u'http://en.wikipedia.org/wiki/Co%C5%9Fkun%20Sabah']
D. K. Jayaraman	[u'http://en.wikipedia.org/wiki/D.%20K.%20Jayaraman']
Dayanand Mohite	[]
Dede Efendi	[u'http://en.wikipedia.org/wiki/Dede%20Efendi']
Derya Türkan	[]
Derya Türkan, Özer Özel	[]
Doraswamy Iyer	[]
Dursun Karaca	[]
E Gayathri	[u'http://en.wikipedia.org/wiki/E.%20Gayathri']
Elif Güreşçi Çiftçioğlu	[]
Embar S. Kannan	[]
Emrullah Şengüler	[]
Erkan Yüksel	[]
Erol Sayan	[]
Esat Tekdal	[]
Esma Başbuğ	[]
Ethem Adnan Ergil	[]
Ethem Pertev Paşa	[]
Eyyûbî Mehmed Çelebi	[]
Faruk Salgar	[]
Fıtnat Duyar	[]
Fehmi Tokay	[]
Ferhadi	[u'http://en.wikipedia.org/wiki/Ferhadija', u'http://en.wikipedia.org/wiki/Ferhadija%20Mosque%20in%20Sarajevo']
Fethi Karamahmutoğlu	[]
Filiz Şatıroğlu	[]
Funda Süyür	[]
G Harishankar	[u'http://en.wikipedia.org/wiki/G.%20Harishankar']
G. J. R. Krishnan	[u'http://en.wikipedia.org/wiki/G.%20J.%20R.%20Krishnan']
G. N. Balasubramaniam	[u'http://en.wikipedia.org/wiki/G.%20N.%20Balasubramaniam']
Gamze Ege Köprek	[]
Ganapathi Sachchidananda	[u'http://en.wikipedia.org/wiki/Ganapathi%20Sachchidananda']
Ganesh - Kumaresh	[]
Garbhapurivasa	[]
Gazi Giray Han	[]
Göksel Baktagir	[]
Gül Yazıcı	[]
Güler Basu Şen	[]
Güzide Taranoğlu	[]
Geeta Balsara	[]
Girija Devi	[u'http://en.wikipedia.org/wiki/Girija%20Devi']
Govind Patwardhan	[]
Gundecha Brothers	[u'http://en.wikipedia.org/wiki/Gundecha%20Brothers']
Guruvayur Dorai	[u'http://en.wikipedia.org/wiki/Guruvayur%20Dorai']
H. N. Bhaskar	[]
Hacı Arif Bey	[u'http://en.wikipedia.org/wiki/Hac%C4%B1%20Arif%20Bey']
Hafız Hüseyin Hüsnü	[]
Hafız Kemal Bey	[]
Halil Gökkaya	[]
Halil Karaduman	[]
Halil Soyuer	[]
Halit Çelikoğlu	[]
Hariprasad Chaurasia	[u'http://en.wikipedia.org/wiki/Hariprasad%20Chaurasia']
Hasan Özdemir	[]
Hasan Lami Ergül	[]
Haydar Telhüner	[]
Hüseyin Hüsnü Üstün	[]
Hikmet Münir Ebcioğlu	[]
Hyderabad Brothers	[]
Jayadeva	[u'http://en.wikipedia.org/wiki/Jayadeva', u'http://en.wikipedia.org/wiki/Jayadeva%20birth%20controversy', u'http://en.wikipedia.org/wiki/Jayadevappa%20Halappa%20Patel', u'http://en.wikipedia.org/wiki/Jayadeva%20in%20Sikhism', u'http://en.wikipedia.org/wiki/Jayadeva%20Uyangoda', u'http://en.wikipedia.org/wiki/Jayadeva%20%28mathematician%29', u'http://en.wikipedia.org/wiki/Jayadevan%27s%20system', u'http://en.wikipedia.org/wiki/Jayadeva%20Malla', u'http://en.wikipedia.org/wiki/Jayadeva%20Kenduli']
Jayalakshmi Sekhar	[]
K. V. Narayanaswami	[]
K. V. Prasad	[]
Kadri Gopalnath	[u'http://en.wikipedia.org/wiki/Kadri%20Gopalnath']
Kallidaikurichi S. Sivakumar	[]
Kamal Sabri	[]
Kamala Chakravarty	[]
Kanuni Artaki Efendi	[]
Kaptanizade Ali Riza Bey	[]
Karaikudi Mani	[u'http://en.wikipedia.org/wiki/Karaikudi%20Mani']
Kashinath Bodas	[]
Katip Çelebi	[u'http://en.wikipedia.org/wiki/Katip%20%C3%87elebi']
Kaushiki Chakrabarty	[u'http://en.wikipedia.org/wiki/Kaushiki%20Chakrabarty']
Kaushiki Desikan	[]
Kedar Pandit	[u'http://en.wikipedia.org/wiki/Kedar%20Pandit']
Kemal Şakir Yakar	[]
Kemanî Hızır Ağa	[]
Kemâl Caba	[]
Kerem Güney	[]
Krishnaswamy Iyer	[]
Kumar Gandharva	[u'http://en.wikipedia.org/wiki/Kumar%20Gandharva']
L. Subramaniam	[u'http://en.wikipedia.org/wiki/L.%20Subramaniam']
Lalgudi Jayaraman	[u'http://en.wikipedia.org/wiki/Lalgudi%20Jayaraman']
Laurence Bastit	[]
Lavtacı Hristo Efendi	[]
Lütfiye Özer	[]
Leyla Saz	[u'http://en.wikipedia.org/wiki/Leyla%20Saz']
M. D. Ramanathan	[u'http://en.wikipedia.org/wiki/M.%20D.%20Ramanathan']
M. S. Gopalakrishnan	[u'http://en.wikipedia.org/wiki/M.%20S.%20Gopalakrishnan']
M.S. Subbulakshmi	[u'http://en.wikipedia.org/wiki/M.%20S.%20Subbulakshmi']
Maharajapuram Santhanam	[u'http://en.wikipedia.org/wiki/Maharajapuram%20Santhanam']
Mahmut Nedim Güntel	[]
Mahmut Oğul	[]
Manambuchavadi Venkatasubbaiyer	[]
Mangalampalli Balamuralikrishna	[u'http://en.wikipedia.org/wiki/Mangalampalli%20Balamuralikrishna']
Mazhavai Chidambara Bharathi	[]
Mısırlı İbrahim Efendi	[]
Müzehher Yurdak	[]
Müzeyyen Senar	[u'http://en.wikipedia.org/wiki/M%C3%BCzeyyen%20Senar']
Mehmed Fahri Kopuz	[]
Mehmet Bilmez	[]
Mehmet Erbulan	[]
Mehmet Gökkaya	[]
Melda Kuyucu	[]
Metin Alkanlı	[]
Metin Everes	[]
Muharrem Naci Sayan	[]
Mungi Ko Furukawa	[]
Munip Utandı	[]
Murat Aydemir	[]
Mustafa Erses	[]
Mustafa Gülen	[]
Mustafa Nafiz Irmak	[]
Mustafa Sayan	[]
Muthiah Bhagavatar	[u'http://en.wikipedia.org/wiki/Muthiah%20Bhagavatar']
Muthuswamy Dikshitar	[u'http://en.wikipedia.org/wiki/Muthuswamy%20Dikshitar']
Muthuthandavar	[]
Muzaffer Özpınar	[]
Mysore Vasudevachar	[u'http://en.wikipedia.org/wiki/Mysore%20Vasudevachar']
N. Ramani	[u'http://en.wikipedia.org/wiki/N.%20Ramani']
Nagai Muralidharan	[u'http://en.wikipedia.org/wiki/Nagai%20Muralidharan']
Nagoor T. S. Ambi Iyer	[]
Namık Kemal	[u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal', u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal%20Yolga', u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal%20University', u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal%20Zeybek', u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal%20House%20Museum%2C%20Tekirda%C4%9F', u'http://en.wikipedia.org/wiki/Nam%C4%B1k%20Kemal%20jokes']
Narayana Theerthar	[]
Nassima	[u'http://en.wikipedia.org/wiki/Nassima%20Ben%20Hamouda', u'http://en.wikipedia.org/wiki/Nassima%20el%20Hor']
Nazan Sıvacı	[]
Nazif Girgin	[]
Nâhit Hilmi Özeren	[]
Nûman Ağa	[]
Necati Samancı	[]
Necdet Yaşar	[u'http://en.wikipedia.org/wiki/Necdet%20Ya%C5%9Far']
Necdet Yaşar, Ahmet Şahin, Derya Türkan, Serdar Bişiren	[]
Necdet Yaşar, Özer Özel	[]
Necdet Yaşar, Ruhi Ayangil	[]
Necdet Yaşar, Ruhi Ayangil, Ahmet Şahin, Derya Türkan, Serdar Bişiren	[]
Necmettin Yıldırım	[]
Nedunuri Krishnamurthy	[u'http://en.wikipedia.org/wiki/Nedunuri%20Krishnamurthy']
Neyzen Aziz Dede	[]
Neyzen Sâlih Dede	[]
Nikoğos Taşcıyan	[]
Nil Burak	[u'http://en.wikipedia.org/wiki/Nil%20Burak']
Niladri Kumar	[u'http://en.wikipedia.org/wiki/Niladri%20Kumar']
Nirant Gundecha	[]
Nureddin Rüştü Büngül	[]
Nusret Yılmaz	[]
Omar Benamara	[]
Omkarnath Thakur	[u'http://en.wikipedia.org/wiki/Omkarnath%20Thakur']
Osman Babuşçu	[]
Osman Nihat Akın	[]
Osman Nuri Özpekel	[]
P. S. Narayanaswamy	[u'http://en.wikipedia.org/wiki/P.%20S.%20Narayanaswamy']
P. Unnikrishnan	[u'http://en.wikipedia.org/wiki/P.%20Unnikrishnan']
Pachimiriyam Adiyappaiah	[]
Palghat Mani Iyer	[u'http://en.wikipedia.org/wiki/Palghat%20Mani%20Iyer']
Palghat Sundaram	[]
Pandit Dinkar Kaikini	[]
Pandit Jasraj	[u'http://en.wikipedia.org/wiki/Pandit%20Jasraj', u'http://en.wikipedia.org/wiki/Pandit%20Jasraj%20Festival']
Papanasam Sivan	[u'http://en.wikipedia.org/wiki/Papanasam%20Sivan']
Patnam Subramania Iyer	[u'http://en.wikipedia.org/wiki/Patnam%20Subramania%20Iyer']
Periyasami Thooran	[]
Pramod Marathe	[]
R Lakshminarayan	[]
R. K. Shriramkumar	[u'http://en.wikipedia.org/wiki/R.%20K.%20Shriramkumar']
R. K. Srikantan	[u'http://en.wikipedia.org/wiki/R.%20K.%20Srikantan']
R. S. Gopalakrishnan	[]
Raûf Yektâ Bey	[u'http://en.wikipedia.org/wiki/Rauf%20Yekta%20Bey']
Ragan Sharma	[]
Rahul Sharma	[u'http://en.wikipedia.org/wiki/Rahul%20Sharma', u'http://en.wikipedia.org/wiki/Rahul%20Sharma%20%28musician%29', u'http://en.wikipedia.org/wiki/Rahul%20Sharma%20%28Hong%20Kong%20cricketer%29', u'http://en.wikipedia.org/wiki/Rahul%20Sharma%20%28Indian%20cricketer%29']
Rajan Mishra	[]
Rakesh Chaurasia	[]
Ramakant Gundecha	[]
Rangaswami Nattuvanar	[]
Ranjana Ghatak	[]
Ravi Shankar	[u'http://en.wikipedia.org/wiki/Ravi%20Shankar', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20%28spiritual%20leader%29', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20Prasad', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20%28poet%29', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20Vyas', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20Sharma', u'http://en.wikipedia.org/wiki/Ravi%20Shankaran', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20%28cartoonist%29', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20Shukla', u'http://en.wikipedia.org/wiki/Ravi%20Shankar%20discography']
Rıfat Bey	[]
Reşat Özpirinççi	[]
Refik Fersan Bey	[]
Refik Tal'ât Alpman	[]
Rudrapatnam S. Ramakanth	[]
Ruhi Ayangil, Ahmet Şahin, Derya Türkan, Özer Özel, Serdar Bişiren	[]
S Karthick	[]
S Venkataraman	[]
S. D. Sridhar	[]
S. Ramanathan	[u'http://en.wikipedia.org/wiki/S.%20Ramanathan']
S. V. Raghuraman	[]
S.V.S. Narayanan	[]
Saïd Chraïbi	[]
Sabahattin Ali	[u'http://en.wikipedia.org/wiki/Sabahattin%20Ali']
Sadık Atay	[]
Sadettin Öktenay	[]
Sadi Işılay	[]
Sait Büyükçınar	[]
Sajan Mishra	[]
Salih Korkmaz	[]
Sanjay Subrahmanyan	[u'http://en.wikipedia.org/wiki/Sanjay%20Subrahmanyan']
Sanjeev Abhyankar	[u'http://en.wikipedia.org/wiki/Sanjeev%20Abhyankar']
Sarvar Sabri	[]
Sâdettin Kaynak	[u'http://en.wikipedia.org/wiki/Sadettin%20Kaynak']
Sâdi Hoşses	[]
Süheyla Eren	[]
Süleyman Çelebi	[u'http://en.wikipedia.org/wiki/S%C3%BCleyman%20%C3%87elebi']
Süleyman Taşpınarlı	[]
Seda Gülbeyaz	[]
Selahattin İnal	[]
Selami Şahin	[]
Selanikli Ahmet Bey	[]
Selim Güler	[]
Semmangudi Srinivasa Iyer	[u'http://en.wikipedia.org/wiki/Semmangudi%20Srinivasa%20Iyer']
Sermet Kutluğ	[]
Seyhan Çelik	[]
Seyhan Girginer	[]
Sezen Aksu	[u'http://en.wikipedia.org/wiki/Sezen%20Aksu', u'http://en.wikipedia.org/wiki/Sezen%20Aksu%20discography']
Shashank	[u'http://en.wikipedia.org/wiki/Shashank', u'http://en.wikipedia.org/wiki/Shashanka', u'http://en.wikipedia.org/wiki/Shashank%20Subramanyam', u'http://en.wikipedia.org/wiki/Shashanka%20Ghosh', u'http://en.wikipedia.org/wiki/Shashank%20%28actor%29', u'http://en.wikipedia.org/wiki/Shashank%20%28director%29', u'http://en.wikipedia.org/wiki/Shashank%20Shende', u'http://en.wikipedia.org/wiki/Shashank%20Manohar', u'http://en.wikipedia.org/wiki/Shashanka%20Koirala', u'http://en.wikipedia.org/wiki/Shashank%20%28diplomat%29']
Shashikant Mulay	[]
Shivkumar Sharma	[u'http://en.wikipedia.org/wiki/Shivkumar%20Sharma']
Sikkil Mala Chandrasekhar	[]
Sowmya	[u'http://en.wikipedia.org/wiki/Sowmya', u'http://en.wikipedia.org/wiki/Sowmya%20Raoh']
Suat Sayın	[]
Subbaraya Sastry	[]
Subhash Kamat	[]
Subramanya Bharati	[]
Sucheta Kelkar	[]
Sudha Ragunathan	[u'http://en.wikipedia.org/wiki/Sudha%20Ragunathan']
Suhail Yusuf Khan	[]
Sultan I. Mahmud	[]
Sultan III. Selim	[]
Sultan IV. Murad	[]
Sultan Khan	[u'http://en.wikipedia.org/wiki/Sultan%20Khan', u'http://en.wikipedia.org/wiki/Sultan%20Khan%20%28musician%29']
Swathi Thirunal	[u'http://en.wikipedia.org/wiki/Swathi%20Thirunal%20Rama%20Varma', u'http://en.wikipedia.org/wiki/Swathi%20Thirunal%20%28film%29', u'http://en.wikipedia.org/wiki/Swathi%20Thirunal%20College%20of%20Music']
Syama Sastri	[u'http://en.wikipedia.org/wiki/Syama%20Sastri']
T. Brinda & T. Mukta	[]
T. K. Murthy	[u'http://en.wikipedia.org/wiki/T.%20K.%20Murthy']
T. M. Krishna	[u'http://en.wikipedia.org/wiki/T.%20M.%20Krishna']
T. N. Seshagopalan	[u'http://en.wikipedia.org/wiki/T.%20N.%20Seshagopalan']
T. Rukmini	[]
T. V. Gopala Krishnan	[]
T.N. Krishnan	[u'http://en.wikipedia.org/wiki/T.%20N.%20Krishnan']
Tahir Mukim	[]
Tanbûrî Büyük Osman Bey	[u'http://en.wikipedia.org/wiki/Tanburi%20B%C3%BCy%C3%BCk%20Osman%20Bey']
Tanburi Ali Efendi	[u'http://en.wikipedia.org/wiki/Tanburi%20Ali%20Efendi']
Tanburi İsak Efendi	[]
Tanburi Cemil Bey	[u'http://en.wikipedia.org/wiki/Tanburi%20Cemil%20Bey']
Taner Şener	[]
Taner Demiralp	[]
Taner Sayacıoğlu	[]
Tanju Erol	[]
Tateos Eñserciyan	[]
Thetakudi Harihara Vinayakram	[u'http://en.wikipedia.org/wiki/Thetakudi%20Harihara%20Vinayakram']
Tirupathi Narayanaswamy	[]
Tunç Kemal	[]
Turhan Öge	[]
Turhan Taşan	[u'http://en.wikipedia.org/wiki/Turhan%20Ta%C5%9Fan']
Udi Nevres Bey	[]
Udi Yorgo Bacanos	[]
Umakant Gundecha	[]
Umayalpuram K. Sivaraman	[u'http://en.wikipedia.org/wiki/Umayalpuram%20K.%20Sivaraman']
Ustad Nasir Faiyazuddin Dagar	[]
Ustad Nasir Zahiruddin Dagar	[]
Ustad Sabri Khan	[u'http://en.wikipedia.org/wiki/Ustad%20Sabri%20Khan']
V Nagarajan	[]
V. M. Subramaniam	[]
V. T. Swami	[]
Vannadil Pudiyaveettil Dhananjayan	[]
Various Artists	[u'http://en.wikipedia.org/wiki/Various%20Artists', u'http://en.wikipedia.org/wiki/Various%20Artists%20%E2%80%93%20Archives%20Vol.%204']
Vasant Achrekar	[]
Veena Sahasrabuddhe	[u'http://en.wikipedia.org/wiki/Veena%20Sahasrabuddhe']
Vellore Ramabhadran	[]
Vijay Ghate	[u'http://en.wikipedia.org/wiki/Vijay%20Ghate']
Volkan Yılmaz	[]
Vyasa Raya	[]
Wasifuddin Dagar	[u'http://en.wikipedia.org/wiki/Wasifuddin%20Dagar']
Yahya Berekay	[]
Yahya Geylan	[]
Yahya Kemal Beyatlı	[u'http://en.wikipedia.org/wiki/Yahya%20Kemal%20Beyatl%C4%B1']
Yesârî Âsım Arsoy	[]
Yogesh Samsi	[u'http://en.wikipedia.org/wiki/Yogesh%20Samsi']
Yunus Emre	[u'http://en.wikipedia.org/wiki/Yunus%20Emre']
Yurdal Tokcan	[]
Yusuf Nalkesen	[]
Zakir Hussain	[u'http://en.wikipedia.org/wiki/Zakir%20Hussain', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20%28musician%29', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20%28politician%29', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20%28actor%29', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20Rose%20Garden', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20College%20of%20Engineering%20and%20Technology', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20College', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20%28Pakistani%20cricketer%29', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20%28Assam%20cricketer%29', u'http://en.wikipedia.org/wiki/Zakir%20Hussain%20Hall']
Zülfü Livaneli	[u'http://en.wikipedia.org/wiki/Z%C3%BClf%C3%BC%20Livaneli']
Zekai Süer	[]
Zekai Tunca	[]
Zeki Ârif Ataergin	[]
Zeki Müren	[u'http://en.wikipedia.org/wiki/Zeki%20M%C3%BCren']
Ziya Taşkent	[]
Zuhal Eğilmez	[]
Zurnazenbaşı İbrahim Ağa	[]
[anonymous]	[u'http://en.wikipedia.org/wiki/Anonymous', u'http://en.wikipedia.org/wiki/Anonymous%20%28group%29', u'http://en.wikipedia.org/wiki/Anonymous%20peer%20review', u'http://en.wikipedia.org/wiki/Anonymous%20work', u'http://en.wikipedia.org/wiki/Anonymously', u'http://en.wikipedia.org/wiki/Anonymous%20function', u'http://en.wikipedia.org/wiki/Anonymous%20P2P', u'http://en.wikipedia.org/wiki/Anonymous%20%28film%29', u'http://en.wikipedia.org/wiki/Anonymous%20mailer', u'http://en.wikipedia.org/wiki/Anonymous%20class']
